driver,constructor,year,round,circuit,position,weather_type,circuit_type,status,finished
massa,williams,2017,5,catalunya,13,dry,permanent,+2 Laps,TRUE
vettel,aston_martin,2021,20,losail,10,dry,permanent,+1 Lap,TRUE
haryanto,manor,2016,5,catalunya,17,dry,permanent,+1 Lap,TRUE
stroll,racing_point,2019,8,ricard,13,dry,permanent,+1 Lap,TRUE
kevin_magnussen,haas,2020,6,catalunya,15,dry,permanent,+1 Lap,TRUE
wehrlein,sauber,2017,20,yas_marina,14,dry,permanent,+1 Lap,TRUE
alonso,mclaren,2018,21,yas_marina,11,dry,permanent,+1 Lap,TRUE
alonso,alpine,2021,8,red_bull_ring,9,dry,permanent,+1 Lap,TRUE
hamilton,mercedes,2019,14,monza,3,dry,permanent,Finished,TRUE
sainz,toro_rosso,2015,2,sepang,8,dry,permanent,+1 Lap,TRUE
mazepin,haas,2021,10,silverstone,17,dry,permanent,+1 Lap,TRUE
wehrlein,sauber,2017,9,red_bull_ring,14,dry,permanent,+1 Lap,TRUE
hulkenberg,force_india,2015,17,rodriguez,7,dry,permanent,Finished,TRUE
nasr,sauber,2016,18,americas,15,dry,permanent,+1 Lap,TRUE
ricciardo,red_bull,2018,15,marina_bay,6,dry,permanent,Finished,TRUE
vandoorne,mclaren,2017,11,hungaroring,10,dry,permanent,+1 Lap,TRUE
grosjean,haas,2019,6,monaco,10,dry,street,Finished,TRUE
vettel,ferrari,2019,17,suzuka,2,dry,permanent,Finished,TRUE
button,mclaren,2014,19,yas_marina,5,dry,permanent,Finished,TRUE
bottas,williams,2015,10,hungaroring,13,dry,permanent,Finished,TRUE
sainz,renault,2018,17,suzuka,10,dry,permanent,+1 Lap,TRUE
grosjean,haas,2020,5,silverstone,16,dry,permanent,+1 Lap,TRUE
bottas,williams,2016,8,BAK,6,dry,street,Finished,TRUE
raikkonen,alfa,2019,14,monza,15,dry,permanent,+1 Lap,TRUE
massa,williams,2017,18,rodriguez,11,dry,permanent,+1 Lap,TRUE
gasly,alphatauri,2021,18,rodriguez,4,dry,permanent,Finished,TRUE
grosjean,lotus_f1,2014,2,sepang,11,dry,permanent,+1 Lap,TRUE
kubica,williams,2019,15,marina_bay,16,dry,street,Finished,TRUE
wehrlein,manor,2016,4,sochi,18,dry,permanent,+2 Laps,TRUE
button,mclaren,2015,19,yas_marina,12,dry,permanent,+1 Lap,TRUE
mazepin,haas,2021,2,imola,17,wet,permanent,+2 Laps,TRUE
massa,williams,2016,18,americas,7,dry,permanent,+1 Lap,TRUE
mick_schumacher,haas,2021,19,interlagos,18,dry,permanent,+2 Laps,TRUE
max_verstappen,red_bull,2021,8,red_bull_ring,1,dry,permanent,Finished,TRUE
sainz,ferrari,2021,15,sochi,3,wet,permanent,Finished,TRUE
haryanto,manor,2016,7,villeneuve,19,dry,street,+2 Laps,TRUE
massa,williams,2016,10,silverstone,11,wet,permanent,+1 Lap,TRUE
giovinazzi,alfa,2019,18,rodriguez,14,dry,permanent,+1 Lap,TRUE
wehrlein,sauber,2017,16,suzuka,15,dry,permanent,+2 Laps,TRUE
vettel,red_bull,2014,18,interlagos,5,dry,permanent,Finished,TRUE
button,mclaren,2015,18,interlagos,14,dry,permanent,+1 Lap,TRUE
hamilton,mercedes,2015,15,sochi,1,dry,street,Finished,TRUE
hamilton,mercedes,2021,10,silverstone,1,dry,permanent,Finished,TRUE
ericsson,sauber,2015,10,hungaroring,10,dry,permanent,Finished,TRUE
kvyat,alphatauri,2020,14,istanbul,12,wet,permanent,+1 Lap,TRUE
chilton,marussia,2014,15,suzuka,18,wet,permanent,+1 Lap,TRUE
vergne,toro_rosso,2014,16,sochi,13,dry,permanent,Finished,TRUE
max_verstappen,toro_rosso,2016,1,albert_park,10,dry,street,Finished,TRUE
raikkonen,alfa,2020,5,silverstone,15,dry,permanent,+1 Lap,TRUE
rosberg,mercedes,2016,3,shanghai,1,dry,permanent,Finished,TRUE
grosjean,haas,2017,8,BAK,13,dry,street,+1 Lap,TRUE
hulkenberg,force_india,2015,7,villeneuve,8,dry,street,+1 Lap,TRUE
vettel,ferrari,2020,9,mugello,10,dry,permanent,Finished,TRUE
kevin_magnussen,mclaren,2014,19,yas_marina,11,dry,permanent,Finished,TRUE
hamilton,mercedes,2019,20,interlagos,7,dry,permanent,Finished,TRUE
gutierrez,sauber,2014,10,hockenheimring,14,dry,permanent,+1 Lap,TRUE
grosjean,haas,2016,1,albert_park,6,dry,street,Finished,TRUE
sirotkin,williams,2018,20,interlagos,16,dry,permanent,+2 Laps,TRUE
sirotkin,williams,2018,16,sochi,18,dry,permanent,+2 Laps,TRUE
hulkenberg,force_india,2016,16,sepang,8,dry,permanent,Finished,TRUE
kevin_magnussen,haas,2019,5,catalunya,7,dry,permanent,Finished,TRUE
sainz,toro_rosso,2016,10,silverstone,8,wet,permanent,Finished,TRUE
sainz,toro_rosso,2017,11,hungaroring,7,dry,permanent,+1 Lap,TRUE
max_verstappen,red_bull,2018,17,suzuka,3,dry,permanent,Finished,TRUE
massa,williams,2014,5,catalunya,13,dry,permanent,+1 Lap,TRUE
stevens,manor,2015,13,marina_bay,15,dry,street,+2 Laps,TRUE
max_verstappen,red_bull,2020,14,istanbul,6,wet,permanent,Finished,TRUE
grosjean,haas,2017,10,silverstone,13,dry,permanent,+1 Lap,TRUE
gasly,toro_rosso,2018,17,suzuka,11,dry,permanent,+1 Lap,TRUE
bottas,williams,2015,6,monaco,14,dry,street,Finished,TRUE
kvyat,red_bull,2015,14,suzuka,13,dry,permanent,+1 Lap,TRUE
vandoorne,mclaren,2018,16,sochi,16,dry,permanent,+2 Laps,TRUE
stroll,racing_point,2020,16,bahrain,3,dry,permanent,Finished,TRUE
stroll,williams,2018,19,rodriguez,12,dry,permanent,+2 Laps,TRUE
rosberg,mercedes,2014,13,monza,2,dry,permanent,Finished,TRUE
sirotkin,williams,2018,7,villeneuve,17,dry,street,+2 Laps,TRUE
jules_bianchi,marussia,2014,4,shanghai,17,dry,permanent,+1 Lap,TRUE
wehrlein,sauber,2017,19,interlagos,14,dry,permanent,+1 Lap,TRUE
giovinazzi,alfa,2021,21,jeddah,9,dry,street,Finished,TRUE
grosjean,haas,2018,6,monaco,15,dry,permanent,+1 Lap,TRUE
maldonado,lotus_f1,2015,16,americas,8,dry,permanent,Finished,TRUE
hamilton,mercedes,2019,9,red_bull_ring,5,dry,permanent,Finished,TRUE
ericsson,sauber,2015,14,suzuka,14,dry,permanent,+1 Lap,TRUE
kevin_magnussen,mclaren,2014,1,albert_park,2,dry,street,Finished,TRUE
max_verstappen,toro_rosso,2016,3,shanghai,8,dry,permanent,Finished,TRUE
bottas,mercedes,2021,13,zandvoort,3,dry,permanent,Finished,TRUE
ericsson,sauber,2016,8,BAK,17,dry,street,+1 Lap,TRUE
raikkonen,ferrari,2016,7,villeneuve,6,dry,street,Finished,TRUE
ricciardo,mclaren,2021,1,bahrain,7,dry,permanent,Finished,TRUE
ericsson,sauber,2017,2,shanghai,15,wet,permanent,+1 Lap,TRUE
raikkonen,ferrari,2016,5,catalunya,2,dry,permanent,Finished,TRUE
hamilton,mercedes,2016,3,shanghai,7,dry,permanent,Finished,TRUE
max_verstappen,red_bull,2018,18,americas,2,dry,permanent,Finished,TRUE
ricciardo,red_bull,2015,8,red_bull_ring,10,dry,permanent,+1 Lap,TRUE
vettel,ferrari,2019,14,monza,13,dry,permanent,+1 Lap,TRUE
albon,toro_rosso,2019,12,hungaroring,10,dry,permanent,+1 Lap,TRUE
jolyon_palmer,renault,2017,2,shanghai,13,wet,permanent,+1 Lap,TRUE
ocon,force_india,2017,15,sepang,10,dry,permanent,+1 Lap,TRUE
kubica,williams,2019,7,villeneuve,18,dry,street,+3 Laps,TRUE
albon,red_bull,2019,18,rodriguez,5,dry,permanent,Finished,TRUE
jules_bianchi,marussia,2014,11,hungaroring,15,wet,permanent,+1 Lap,TRUE
